assay_chembl_id,canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,target_chembl_id,type,units,value,target_label
CHEMBL769667,Nc1ncc(Cc2cccc(OCc3ccccc3)c2)c(N)n1,CHEMBL274031,IC50,nM,12750.0,CHEMBL1939,IC50,uM,12.75,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769665,Nc1ncc(Cc2cccc(Oc3ccccc3)c2)c(N)n1,CHEMBL119224,IC50,nM,19080.0,CHEMBL1939,IC50,uM,19.08,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769666,Nc1ncc(Cc2cccc(Oc3ccccc3)c2)c(N)n1,CHEMBL119224,IC50,nM,2860.0,CHEMBL1939,IC50,uM,2.86,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769492,Nc1ncc(Cc2cccc(Oc3ccccc3)c2)c(N)n1,CHEMBL119224,IC50,nM,3690.0,CHEMBL1939,IC50,uM,3.69,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769664,Nc1ncc(Cc2cccc(Oc3ccccc3)c2)c(N)n1,CHEMBL119224,IC50,nM,30.0,CHEMBL1939,IC50,uM,0.03,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769484,Nc1ncc(Cc2cccc(Oc3ccccc3)c2)c(N)n1,CHEMBL119224,IC50,nM,3517.0,CHEMBL1939,IC50,uM,3.517,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769485,Nc1ncc(Cc2cccc(Oc3ccccc3)c2)c(N)n1,CHEMBL119224,IC50,nM,30.0,CHEMBL1939,IC50,uM,0.03,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769667,Nc1ncc(Cc2cccc(Oc3ccccc3)c2)c(N)n1,CHEMBL119224,IC50,nM,29610.0,CHEMBL1939,IC50,uM,29.61,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769665,CCc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OCc2ccccc2)c1,CHEMBL22137,IC50,nM,3570.0,CHEMBL1939,IC50,uM,3.57,"PfDHFR-TS K1 (P. falciparum, resistant)"
CHEMBL769666,CCc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OCc2ccccc2)c1,CHEMBL22137,IC50,nM,540.0,CHEMBL1939,IC50,uM,0.54,"PfDHFR-TS K1 (P. falciparum, resistant)"
