dock_id,identifier,canonical_smiles,p_active,is_african_np,vina_score_1,vina_score_2,vina_score_3,n_modes,dock_time_s,dock_ok,out_pdbqt,docking_rank
CNP0200637_3,CNP0200637.3,COc1ccc2c(c1CC=C(C)C)O[C@@H]1c3ccc(O)cc3OC[C@@]21O,0.3004750014280906,True,-9.332,-9.217,-8.785,9,11.9,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0200637_3_out.pdbqt,67
CNP0134162_1,CNP0134162.1,COc1cc2c(cc1OC)[C@@H](c1ccc3c(c1)OCO3)[C@H]1C(=O)OC[C@@H]1C2,0.3581542100443056,True,-9.326,-8.82,-8.559,9,10.9,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0134162_1_out.pdbqt,68
CNP0060964_0,CNP0060964.0,Nc1nc(N)c2c(n1)NCC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2,0.7471226175736685,False,-9.308,-9.028,-8.944,9,95.8,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0060964_0_out.pdbqt,69
CNP0478153_1,CNP0478153.1,COc1cc(=O)n(C)c2c(C(=O)N[C@@H](CCC(=O)O)C(=O)C=C(C)C)nc3ccccc3c12,0.5485215909414126,False,-9.289,-9.272,-9.255,9,36.1,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0478153_1_out.pdbqt,70
CNP0239591_1,CNP0239591.1,C[C@@H]1CO[C@](O)(OC2=C(c3ccc(O)c(O)c3)Cc3cc(O)cc(O)c3C2=O)[C@H](O)[C@H]1O,0.3624987753214633,True,-9.273,-8.841,-8.245,9,42.6,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0239591_1_out.pdbqt,71
CNP0518341_1,CNP0518341.1,Nc1nc2c(c(=O)[nH]1)N(C=O)C[C@H](CNc1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc1)N2,0.6333909283428877,False,-9.265,-9.008,-8.967,9,75.8,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0518341_1_out.pdbqt,72
CNP0083635_1,CNP0083635.1,N=CN1c2c(nc(N)[nH]c2=O)NC[C@@H]1CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,0.5894410678929491,False,-9.264,-9.23,-8.774,9,102.2,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0083635_1_out.pdbqt,73
CNP0325228_0,CNP0325228.0,C=C1OC=C(c2c(OC)cc3oc(-c4ccccc4)cc(=O)c3c2OC)C1=O,0.31236578776266,True,-9.25,-8.879,-8.409,9,13.9,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0325228_0_out.pdbqt,74
CNP0236620_27,CNP0236620.27,CC[C@H](CC[C@H](C)[C@H]1CC[C@@H]2[C@H]3CC=C4C[C@@H](O)CC[C@@]4(C)[C@@H]3CC[C@]21C)C(C)C,0.3105495057910009,True,-9.234,-8.487,-8.443,9,23.6,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0236620_27_out.pdbqt,75
CNP0161258_2,CNP0161258.2,CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21,0.3099005108150825,True,-9.23,-9.186,-8.979,9,33.9,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0161258_2_out.pdbqt,76
CNP0244730_1,CNP0244730.1,CC(=O)OC[C@H]1[C@H]2[C@@H](OC(C)=O)C[C@@H](C)[C@](C)(CCC3=CC(=O)OC3)[C@@H]2CC[C@]12CO2,0.3299715547464231,True,-9.223,-8.6,-8.548,9,30.1,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0244730_1_out.pdbqt,77
CNP0234315_3,CNP0234315.3,CC(=O)O[C@@H]1CC[C@@]2(C)C(=CC[C@H]3[C@H]4CC[C@H]([C@H](C)CCC(=O)O)[C@@]4(C)CC[C@@H]32)C1,0.5018033213941469,False,-9.206,-9.094,-8.05,9,36.2,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0234315_3_out.pdbqt,78
CNP0167911_1,CNP0167911.1,N=C(N)NCCC[C@@H](NC(=O)c1ccc(OC(=O)c2ccc(O)cc2)cc1)C(=O)O,0.5388834369277833,False,-9.192,-9.162,-9.033,9,51.3,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0167911_1_out.pdbqt,79
CNP0405993_1,CNP0405993.1,C=C(C)[C@H]1Cc2c(ccc3c2O[C@H]2CCc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,0.403172452821732,True,-9.182,-8.55,-8.403,9,10.8,True,C:\my_projects_all\portfolio_projects\Msc_project\data\docking\results\CNP0405993_1_out.pdbqt,80
