GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
4500,0.0,0.0,0.0,-22.78,-18.93,-0.0,0.0,23.65,-3.28,-41.71,20.37,-21.34
4570,-0.0,-0.0,0.0,-22.19,-11.78,-0.0,-0.0,18.46,-2.75,-33.97,15.71,-18.25
4640,0.0,-0.0,-0.0,-26.55,-14.56,0.0,0.0,22.22,-3.54,-41.11,18.68,-22.43
4710,-0.0,0.0,0.0,-23.06,-13.2,0.0,-0.0,19.61,-3.1,-36.26,16.51,-19.74
4780,0.0,-0.0,0.0,-24.87,-13.55,0.0,-0.0,20.54,-3.05,-38.42,17.49,-20.93
4850,0.0,-0.0,-0.0,-25.59,-20.56,0.0,-0.0,24.44,-3.34,-46.14,21.1,-25.05
4920,-0.0,0.0,-0.0,-25.3,-17.2,0.0,0.0,22.05,-3.3,-42.5,18.75,-23.74
4990,0.0,0.0,0.0,-23.23,-17.13,0.0,0.0,22.69,-3.23,-40.37,19.46,-20.91


POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1000,713.02,1810.28,2260.69,-1741.97,-16361.39,878.09,10697.73,-3827.61,69.54,0.0,-1743.55,-3758.07,-5501.62
1070,738.43,1770.28,2283.92,-1726.18,-16237.53,891.47,10688.86,-3958.59,71.6,0.0,-1590.75,-3886.99,-5477.74
1140,724.87,1808.73,2242.86,-1714.01,-16116.75,878.86,10668.16,-4069.11,70.78,0.0,-1507.28,-3998.33,-5505.61
1210,742.49,1832.03,2238.05,-1767.74,-16006.77,864.29,10622.42,-4097.77,70.77,0.0,-1475.23,-4027.0,-5502.23
1280,733.79,1758.56,2275.25,-1768.79,-16070.54,879.61,10726.5,-4110.41,70.9,0.0,-1465.62,-4039.51,-5505.13
1350,708.91,1751.91,2287.51,-1759.68,-16221.53,877.27,10657.74,-3914.35,69.72,0.0,-1697.88,-3844.64,-5542.52
1420,735.45,1745.25,2273.34,-1708.6,-16291.68,876.94,10705.46,-3904.79,72.44,0.0,-1663.84,-3832.35,-5496.19
1490,764.3,1828.35,2274.98,-1714.79,-16365.56,858.61,10658.16,-3854.13,72.23,0.0,-1695.95,-3781.9,-5477.84
1560,725.38,1792.37,2274.48,-1760.36,-16155.05,859.8,10623.67,-3915.4,70.36,0.0,-1639.72,-3845.04,-5484.76
1630,704.66,1788.37,2264.67,-1748.08,-16037.19,867.39,10687.85,-4110.71,70.82,0.0,-1472.33,-4039.89,-5512.22
1700,704.7,1769.52,2301.33,-1729.01,-16240.05,884.45,10724.22,-4019.03,70.24,0.0,-1584.83,-3948.79,-5533.63
1770,705.4,1775.42,2254.02,-1739.96,-16075.87,883.47,10729.89,-4136.85,70.8,0.0,-1467.62,-4066.05,-5533.67
1840,747.28,1736.52,2298.95,-1710.92,-15943.13,889.16,10661.24,-4281.38,72.08,0.0,-1320.89,-4209.3,-5530.19
1910,701.16,1761.36,2290.43,-1771.66,-15980.22,863.5,10655.95,-4175.93,70.49,0.0,-1479.47,-4105.45,-5584.92
1980,738.4,1832.89,2258.53,-1737.46,-16115.52,867.8,10714.13,-4109.96,72.28,0.0,-1441.22,-4037.68,-5478.9
2050,739.53,1797.43,2271.06,-1720.63,-16044.58,893.13,10691.19,-4158.53,71.62,0.0,-1372.87,-4086.91,-5459.78
2120,757.95,1805.92,2249.15,-1732.53,-16181.7,868.44,10681.44,-4022.01,71.62,0.0,-1551.34,-3950.38,-5501.72
2190,747.76,1827.64,2255.33,-1734.75,-15846.01,862.6,10553.66,-4173.6,70.2,0.0,-1333.76,-4103.4,-5437.16
2260,713.5,1792.24,2258.56,-1753.27,-16024.57,866.28,10641.82,-4129.31,70.45,0.0,-1505.45,-4058.85,-5564.3
2330,698.22,1772.82,2287.98,-1704.86,-16153.96,881.04,10676.14,-4027.94,69.31,0.0,-1542.61,-3958.62,-5501.24
2400,714.46,1781.45,2285.49,-1679.48,-16297.97,851.43,10619.58,-3894.68,70.93,0.0,-1725.03,-3823.75,-5548.78
2470,713.77,1802.54,2284.79,-1703.34,-16306.47,890.38,10652.73,-3938.01,70.59,0.0,-1665.61,-3867.42,-5533.03
2540,760.31,1764.17,2286.21,-1762.8,-16025.81,857.34,10673.01,-4181.87,71.11,0.0,-1447.56,-4110.76,-5558.32
2610,761.15,1803.13,2275.72,-1735.62,-16144.85,865.21,10654.88,-4086.94,70.46,0.0,-1520.38,-4016.48,-5536.86
2680,735.59,1729.82,2303.53,-1745.21,-16281.16,870.99,10696.75,-3937.59,69.4,0.0,-1689.7,-3868.18,-5557.88
2750,702.73,1812.62,2316.64,-1756.34,-16274.24,878.85,10765.38,-4024.51,70.09,0.0,-1554.36,-3954.43,-5508.78
2820,724.41,1786.86,2235.88,-1752.55,-16240.59,874.63,10620.55,-3927.49,69.08,0.0,-1750.81,-3858.41,-5609.22
2890,650.11,1782.31,2264.63,-1727.6,-16061.04,883.19,10674.5,-4106.72,69.83,0.0,-1533.9,-4036.89,-5570.8
2960,696.32,1815.46,2278.0,-1766.76,-16297.0,888.9,10680.88,-3882.75,69.78,0.0,-1704.18,-3812.97,-5517.15
3030,748.47,1812.2,2268.32,-1708.28,-16355.85,894.25,10717.11,-3940.53,70.94,0.0,-1623.77,-3869.59,-5493.37
3100,753.27,1808.17,2289.59,-1748.42,-16294.04,889.83,10736.96,-3961.11,69.0,0.0,-1564.65,-3892.11,-5456.76
3170,736.22,1852.66,2249.74,-1720.2,-16169.67,889.68,10636.79,-4006.97,70.67,0.0,-1524.78,-3936.3,-5461.07
3240,752.18,1820.97,2243.84,-1727.71,-16095.32,867.04,10567.99,-4016.96,71.57,0.0,-1571.01,-3945.39,-5516.4
3310,728.17,1776.55,2269.94,-1667.29,-16260.9,866.26,10660.13,-3966.92,74.51,0.0,-1627.13,-3892.41,-5519.54
3380,690.98,1779.28,2265.98,-1752.41,-16126.85,907.33,10636.33,-4017.63,71.41,0.0,-1599.37,-3946.22,-5545.59
3450,731.85,1785.58,2263.43,-1721.75,-16215.31,879.45,10641.95,-3928.94,71.78,0.0,-1634.79,-3857.17,-5491.96
3520,734.47,1739.22,2239.88,-1697.2,-16215.41,886.17,10645.03,-3963.45,73.62,0.0,-1667.84,-3889.83,-5557.67
3590,744.37,1811.78,2276.35,-1723.38,-16401.91,887.87,10649.38,-3782.29,69.62,0.0,-1755.54,-3712.67,-5468.21
3660,714.01,1738.56,2246.3,-1746.39,-16184.76,891.46,10703.17,-4009.68,71.12,0.0,-1637.64,-3938.56,-5576.2
3730,742.32,1737.73,2262.63,-1703.34,-16096.82,863.56,10610.09,-4021.69,71.32,0.0,-1583.82,-3950.37,-5534.18
3800,711.78,1766.27,2248.0,-1698.18,-16078.67,886.83,10670.81,-4080.78,70.52,0.0,-1493.16,-4010.26,-5503.42
3870,735.68,1765.68,2247.24,-1736.44,-16023.59,869.24,10627.28,-4098.56,69.18,0.0,-1514.91,-4029.38,-5544.3
3940,702.68,1740.44,2257.5,-1750.12,-15936.75,860.37,10620.27,-4120.19,69.87,0.0,-1505.61,-4050.32,-5555.93
4010,717.59,1729.2,2260.43,-1749.91,-15952.63,872.5,10670.93,-4158.65,70.13,0.0,-1451.9,-4088.52,-5540.41
4080,727.23,1790.54,2251.61,-1747.54,-15885.4,877.33,10628.76,-4246.08,68.56,0.0,-1357.48,-4177.51,-5534.99
4150,698.25,1757.3,2266.21,-1767.64,-15983.95,881.49,10661.7,-4105.79,68.1,0.0,-1486.65,-4037.69,-5524.34
4220,742.51,1757.37,2280.13,-1709.35,-16094.6,878.19,10632.9,-4036.91,68.97,0.0,-1512.83,-3967.94,-5480.78
4290,731.88,1766.45,2272.64,-1747.15,-15875.77,875.87,10605.05,-4246.5,69.77,0.0,-1371.03,-4176.72,-5547.76
4360,730.55,1770.36,2242.65,-1721.65,-15813.08,860.38,10592.8,-4238.66,71.0,0.0,-1338.0,-4167.66,-5505.65
4430,731.42,1764.76,2262.71,-1719.46,-15983.41,882.72,10625.07,-4180.63,72.52,0.0,-1436.19,-4108.11,-5544.3
4500,693.71,1766.66,2263.13,-1682.06,-15902.02,855.4,10666.53,-4260.91,72.76,0.0,-1338.65,-4188.15,-5526.8
4570,717.32,1819.31,2263.75,-1720.98,-15951.16,888.67,10650.37,-4196.89,72.93,0.0,-1332.72,-4123.96,-5456.68
4640,753.15,1775.62,2232.48,-1696.24,-15900.37,887.46,10611.56,-4171.49,71.36,0.0,-1336.34,-4100.13,-5436.47
4710,719.61,1780.75,2251.39,-1758.23,-15959.7,892.98,10648.83,-4163.28,68.85,0.0,-1424.37,-4094.44,-5518.81
4780,706.94,1850.47,2241.5,-1766.88,-16254.16,876.01,10659.78,-3891.21,67.14,0.0,-1686.35,-3824.07,-5510.42
4850,724.04,1832.66,2255.19,-1767.29,-16034.74,871.65,10643.17,-4054.05,67.69,0.0,-1475.31,-3986.36,-5461.67
4920,712.38,1802.52,2242.85,-1748.12,-16030.58,871.44,10541.1,-3986.76,68.38,0.0,-1608.41,-3918.39,-5526.8
4990,757.67,1798.81,2270.04,-1739.32,-15912.66,898.75,10653.62,-4209.13,70.09,0.0,-1273.08,-4139.05,-5412.12

Receptor Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1000,707.19,1798.91,2247.38,-1714.77,-16374.15,868.9,10853.75,-3836.96,70.27,0.0,-1612.78,-3766.69,-5379.47
1070,733.91,1762.45,2277.04,-1701.66,-16248.64,883.5,10844.55,-3964.44,72.23,0.0,-1448.86,-3892.21,-5341.08
1140,719.34,1802.6,2231.78,-1689.06,-16126.86,870.48,10820.64,-4075.59,71.4,0.0,-1371.07,-4004.19,-5375.27
1210,737.55,1826.67,2225.66,-1738.23,-16017.79,857.53,10775.14,-4110.34,71.61,0.0,-1333.47,-4038.73,-5372.2
1280,725.64,1752.89,2269.12,-1743.57,-16088.95,871.0,10879.91,-4117.1,71.62,0.0,-1333.96,-4045.49,-5379.44
