GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
9260,18.6,30.6,35.31,-3.78,-137.76,22.59,105.27,-39.42,3.56,0.0,70.83,-35.85,34.98
9330,14.68,25.68,34.26,-0.33,-135.74,19.13,103.33,-38.22,3.56,0.0,61.01,-34.66,26.35
9400,18.77,29.49,34.47,-3.21,-136.95,19.23,106.01,-40.67,3.62,0.0,67.81,-37.06,30.75
9470,11.83,29.96,37.38,-2.6,-135.74,19.53,105.19,-39.72,3.6,0.0,65.56,-36.11,29.44
9540,12.65,38.15,34.14,-4.86,-133.79,20.64,103.58,-40.17,3.61,0.0,70.52,-36.56,33.96
9610,20.79,25.85,31.81,-0.85,-136.35,20.53,106.47,-40.51,3.63,0.0,68.26,-36.88,31.38
9680,11.85,34.21,31.77,-3.27,-132.13,21.02,106.05,-42.05,3.56,0.0,69.49,-38.49,31.0
9750,17.4,32.38,34.4,-3.38,-130.26,17.62,103.17,-41.34,3.63,0.0,71.33,-37.71,33.62
9820,15.78,31.32,32.99,-4.04,-136.74,17.74,104.47,-39.96,3.61,0.0,61.53,-36.35,25.18
9890,15.17,28.87,36.13,-4.21,-128.5,19.18,102.51,-41.69,3.53,0.0,69.14,-38.16,30.98
9960,13.4,27.88,37.18,-1.81,-129.8,18.72,103.34,-42.08,3.64,0.0,68.91,-38.44,30.47

Delta Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
1000,-0.0,-0.0,0.0,-41.68,-20.46,-0.0,-0.0,49.98,-4.54,0.0,-62.15,45.44,-16.71
1070,-0.0,-0.0,0.0,-40.62,-16.6,-0.0,-0.0,47.4,-4.52,0.0,-57.22,42.88,-14.35
1140,-0.0,0.0,-0.0,-39.27,-22.17,-0.0,0.0,47.27,-4.25,0.0,-61.44,43.02,-18.43
1210,0.0,0.0,-0.0,-38.57,-25.18,0.0,0.0,52.36,-4.4,0.0,-63.76,47.96,-15.8
1280,0.0,0.0,-0.0,-44.44,-30.53,-0.0,0.0,67.38,-4.54,0.0,-74.97,62.84,-12.14
1350,-0.0,-0.0,0.0,-40.73,-16.59,-0.0,-0.0,42.65,-4.58,0.0,-57.31,38.07,-19.25
1420,-0.0,-0.0,-0.0,-42.3,-14.07,-0.0,-0.0,40.5,-4.24,0.0,-56.37,36.26,-20.11
1490,-0.0,-0.0,-0.0,-43.11,-16.67,-0.0,-0.0,49.48,-4.72,0.0,-59.78,44.76,-15.02
1560,-0.0,-0.0,-0.0,-38.7,-19.99,-0.0,-0.0,43.57,-4.19,0.0,-58.69,39.38,-19.31
1630,0.0,-0.0,-0.0,-43.11,-14.78,-0.0,0.0,49.49,-4.7,0.0,-57.89,44.78,-13.11
1700,-0.0,0.0,-0.0,-46.07,-21.41,0.0,0.0,52.68,-4.78,0.0,-67.48,47.9,-19.58
1770,0.0,0.0,0.0,-40.63,-17.65,-0.0,-0.0,50.15,-4.26,0.0,-58.29,45.89,-12.39
1840,0.0,0.0,0.0,-40.43,-11.22,-0.0,-0.0,41.16,-4.36,0.0,-51.65,36.8,-14.85
1910,0.0,-0.0,0.0,-41.39,-33.96,-0.0,-0.0,61.1,-4.39,0.0,-75.34,56.7,-18.64
1980,0.0,0.0,0.0,-37.65,-19.23,0.0,0.0,43.02,-4.31,0.0,-56.88,38.71,-18.17
2050,-0.0,-0.0,-0.0,-45.82,-18.32,-0.0,-0.0,49.79,-4.5,0.0,-64.14,45.29,-18.85
2120,-0.0,-0.0,0.0,-40.45,-17.17,-0.0,0.0,46.79,-4.36,0.0,-57.62,42.43,-15.19
